Player,Team,threep,threes
Kay Felder,Cavaliers,0.318,13.92
Jarell Martin,Grizzlies,0.36,16.45
Anthony Brown,Magic,0.259,54
Jonas Jerebko,Celtics,0.36,48.26
Malik Beasley,Nuggets,0.321,38.36
Kris Dunn,Timberwolves,0.288,23.32
Malachi Richardson,Kings,0.296,39.71
Adreian Payne,Timberwolves,0.2,27.78
Tyler Zeller,Celtics,0,0.63
Tyus Jones,Timberwolves,0.361,39.78
Brian Roberts,Hornets,0.386,36.07
Rashad Vaughn,Bucks,0.321,51.92
Johnny O'Bryant III,Hornets,0.5,20
Jose Calderon,Hawks,0.313,47.76
Kyle Anderson,Spurs,0.395,18.27
Dejounte Murray,Spurs,0.391,19.83
Dragan Bender,Suns,0.28,62.5
Jared Sullinger,Raptors,0.167,37.5
Gary Payton II,Bucks,0.111,40.91
Norris Cole,Thunder,0.231,25
Nicolas Laprovittola,Spurs,0.37,57.45
Darrun Hilliard,Pistons,0.261,36.51
Paul Pierce,Clippers,0.349,61.43
Wade Baldwin,Grizzlies,0.143,18.42
Henry Ellenson,Pistons,0.294,53.13
Briante Weber,Hornets,0.1,16.67
Jakob Poeltl,Raptors,0,0
Maurice Ndour,Knicks,0.143,8.33
Sheldon McClellan,Wizards,0.241,39.19
Jarrett Jack,Pelicans,0,33.33
Sasha Vujacic,Knicks,0.315,53.68
Andrew Bogut,Cavaliers,0,1.23
Salah Mejri,Mavericks,0.333,2.19
Lavoy Allen,Pacers,0,0.6
Fred VanVleet,Raptors,0.393,25.45
Alan Anderson,Clippers,0.318,55
Jeff Withey,Jazz,0,0
Semaj Christon,Thunder,0.2,24.55
James Michael McAdoo,Warriors,0.25,6.78
Chinanu Onuaku,Rockets,0,0
Marcus Georges-Hunt,Magic,0.5,28.57
Okaro White,Heat,0.353,39.08
Nicolas Brussino,Mavericks,0.309,66.67
James Jones,Cavaliers,0.47,71.74
Axel Toupane,Pelicans,0.25,44.44
Kyle Singler,Thunder,0.189,44.58
Marcelo Huertas,Lakers,0.211,27.94
Wesley Johnson,Clippers,0.259,56.85
DeAndre Bembry,Hawks,0.059,17.35
Tomas Satoransky,Wizards,0.25,24.66
Christian Wood,Hornets,0,21.74
Omer Asik,Pelicans,0,0
Andrew Nicholson,Nets,0.192,23.42
Bryn Forbes,Spurs,0.321,53.54
Kevon Looney,Warriors,0.222,8.41
